Text,Latitude,Longitude
"And that's why Youths are being given Gift of Agniveer?
What a cruel Joke 🤣. https://t.co/0aysPlRHqH",22.269493,88.094457
"And that's why Youths are being given Gift of Agniveer?
What a cruel Joke 🤣. https://t.co/0aysPlRHqH",22.269493,88.094457
@indiannavy @Spearcorps @PMOIndia @rajnathsingh Indian Navy and Indian Army site is super slow. Not able to apply for Agniveer. Why ?,29.230601,76.998592
@news24tvchannel Yeah desh ka durbhagya jaha ek adhyapak 4 ghante duty krne ke 1lakh or wahi dusri or sena k jaban ko 21000 jo ki agniveer k roop. M.wah mere desh. Manya yogi ji se anurodh h ki seekshak ke duty puri hone k bad unhe tehseel ya anya seva m lgaya jaye. Unhe bhi desh seva m lgaya jay,27.761927,77.424837
"@DRMJodhpurNWR  @DRMJaipur 
 20489(BMR-JP SUP FAST) गाड़ी लेट होने के कारण मैं airforce (agniveer) की परीक्षा से वंचित रह गया … https://t.co/GEJjkEGvak https://t.co/wrcwKGwkrx",6.622513,67.997691
OPPOSITION IS BUSY TO STALL PROCEDING IN BOTH HOUSES .NOT   READY TO DEBATE ON AGNIVEER .PRICE RISE .ECONOMY . PROJECTS . DEVELOPMENT . BORDERS . FOREIGN POLICY . REVENUE &amp; JUDICIARY REFORMS . WORKS &amp; PLANING . SPACE &amp; ENERGY . PREPARATIONS OF DEFENCE .CORRUPTION &amp; SCAMS ?,32.359211,74.6347853
@indiannavyfp @PMOIndia we are trying to fill application form for agniveer website is too slow why there is so much issue .. simplifi the process @rajnathsingh,23.080093,88.329675
"@mieknathshinde शहादत पर नमन करने से अलग, हम सैनिको के साथ उनके हितों के लिए खड़े भी नहीं हो सकते?
Agniveer की वजह से कितने लोगो का सपना टूट गया
NO EXAM NO JOINING
#AgnipathRecruitmentScheme",28.397657,76.84252
@HurryPuttar @RAVIRAN16999424 @ranvijaylive Here the traditional method itself is stopped. Get to know the facts. Agniveer made the only way to get into defense in India for now.,22.492584,88.390681
@RavinderKumarR3 @rajnathsingh Aap over age hai agniveer nhi ban sakte,28.397657,76.84252
"आजकल कुंवारों को नौकरी सरकार इसीलिए तो नहीं दे रही है...
की नौकरी के बाद शादी करके 2 से ज्यादा बच्चे न करले 
🤣😂🤣
#Agniveer
@SatyaPrakashAAP
@berojgari_duniy
@Ronak_2105_
@JyotiANM",21.073255,74.030686
@ArvindKejriwal Toh cabinet mei bill pass kardo ki Delhi mei nhi lagega..  jaise Chandigarh ko Punjab mein kar diya CAA and Agniveer k against motion laye,28.397657,76.84252
@rashtrapatibhvn Agniveer scheme kb cancel kr rhi aap Madam ji? Desh ko sirf aapse hi umeed h. Bjp ke Modiji ne desh ko barbad kr diya h.,26.800561,75.4979969
"As far as I believe, most of the soldiers, brave soldiers are from the village itself, that is why it is very difficult for Agniveer to prepare the ground in this rainy season.Because there is no proper ground in the village, that's why we run on the unpaved road,",21.073255,74.030686
@nityanandraibjp as you said in parliament that 10%reservation for agniveer and what about other than agniveer defence personnel retiring every year even dgr has expressed his inability to provide jobs to all retiree.why do not you give reservation in state police ruled by bjp?,23.871941,77.096236
"Do you have any other agenda apart from Rahul Gandhi...there are lot more issues to be answered, poor governance, inflation, border issues, unemployment and above all no discussion in parliament over these issues like 'agniveer'. Why do always distract people with useless issues https://t.co/Bzu3XxfItS",26.800561,75.4979969
Arey tum jehadi aatanki paida karo desh mai. Bharat apne AGNIVEER paida karega https://t.co/BJSiHbkKrh,20.939239,81.534775
"@SanjayAzadSln @AmitShah Kyu Isme Jati Likhi to  Maja aa raha hai, Agniveer mai punchh li to tumhara DNA change ho gaya tha",28.443981,77.302126
@RubikaLiyaquat Pahale cee cxam karbao fir agniveer socho,26.800561,75.4979969
@Abhilas55693053 @IAMCouncil @VidyaKrishnan How many houses were buldozed of agniveer protester nd what d action taken by admin.??¿?,28.236765,77.717055
@Shadab65272858 @renukacal @kirtisharmaa6 @varungandhi80 Beta neta log 5 saal baad dubara mehnat karte he vote mangte he Fir Harte ya jit te he agniveer bhi 4 saal baad dubra apply kar ke 25% waalon me shamil ho jaye kisne mana Kiya kya kabliyat par shak he kya jo tumhe lagta he ki tum 25% me nahi ja sakte,28.199529,76.707671
@ArvindKejriwal ek gunda aur ticket blackia ko mp bana diya @SanjayAzadSln  ko jo tumhara kahan pe jooth per jooth bolta hai aaj agniveer per jooth bola. Yeh mp ka like nahi hai yeh sirf gunda hai party bahar karo isa,28.397657,76.84252
"@yadavtejashwi To bhai sahab ye jati to pahle bhi puchhi jati thi. 
To.  Abhi puchhi jayegi Esme kya bura h.   
Ye  to koi bola nhi hoga ki tu yadav h.  Tuje agniveer nhi banana h",22.774799,72.089328
"@ColAjayKothiyal Aap apni pension bnd krke agniveer ke brand ambassador bn jao.

Dol bn gye aap to.",26.800561,75.4979969
SANJAY SINGH AAP MP HAVE  HAND GLOVE WITH JHADHIES &amp; SPOKES PERSONS OF ANTI INDIANS . AGNIVEER YOGNA IS WORLD TOP MOST SCHEME . HIS ACTION &amp; OPPOSITION AGAINST MODI JEE IS ONLY TO DESTABLIZE INDIA . NATION MUST UNDER STAND PLANING OF AAP .,32.359211,74.6347853
"@AmanChopra_ Being on denial on Momins joining Agniveer in large number is your thought but you are pushing the envelope too far by underestimating the PFI toolkit.
@dsharma54 @adityaksinghal @rks0504",28.199529,76.707671
"@PMOIndia @narendramodi Today minimum 10Lakh leaders are voteing in president election whom minimum average of salary/pension is 1 Lakh.
They have to leave their pension as like AGNIVEER for own country devlopment.
@PMOIndia @ZeeNews
@narendramodi @VIPpartyupbihar @himantabiswa @BBCHindi",25.741715,84.106864
"The problem will start after 4 years when they would be unemployed &amp; vulnerable to anti social activities.  This is short term plan which will backfire. 
Can you expect 100% dedication in discharging their duties? 
#AgnipathProtests
#Agniveer #agniveerRecruitmentScheme #agnivir https://t.co/k92ROL9MLI",30.627523,76.632689
"@myogiadityanath @AshwiniVaishnaw Today minimum 10Lakh leaders are voteing in president election whom minimum average of salary/pension is 1 Lakh.
They have to leave their pension as like AGNIVEER for own country devlopment.
@PMOIndia @ZeeNews
@narendramodi @VIPpartyupbihar @himantabiswa @BBCHindi",25.741715,84.106864
"@AlongImna @AshwiniVaishnaw Today minimum 10Lakh leaders are voteing in president election whom minimum average of salary/pension is 1 Lakh.
They have to leave their pension as like AGNIVEER for own country devlopment.
@PMOIndia @ZeeNews
@narendramodi @VIPpartyupbihar @himantabiswa @BBCHindi",25.741715,84.106864
"@sonofmallah Today minimum 10Lakh leaders are voteing in president election whom minimum average of salary/pension is 1 Lakh.
They have to leave their pension as like AGNIVEER for own country devlopment.
@PMOIndia @ZeeNews
@narendramodi @VIPpartyupbihar @himantabiswa @BBCHindi",25.741715,84.106864
"@BJPSTMORCHA @AlongImna @himantabiswa @myogioffice @SachTakNo1 Today minimum 10Lakh leaders are voteing in president election whom minimum average of salary/pension is 1 Lakh.
They have to leave their pension as like AGNIVEER for own country devlopment.
@PMOIndia @ZeeNews
@narendramodi @VIPpartyupbihar @himantabiswa @BBCHindi",25.741715,84.106864
"Aap to yuvao ka dard samjte hai. app hi sarkar se hamri bat rakh do.bade bhai 🥺 #SSCGD2018
 #Agniveer #JusticeForDefenceStudens
@ElvishYadav",28.620877,77.20469
@ManishN11775295 Don't sit quiet this time.tweet more.Nor does Agniveer have to go to the rally #justicefordifencestudent https://t.co/JdCG5hgmuB,27.650638,74.474584
#JusticeForDefenceStudents #agnipath #Agniveer #AgnipathScheme #armyexam #airforceenroolment #airforceresult @rajnathsingh @PMOIndia @adgpi @DefenceMinIndia @IAF_MCC @indiannavy,17.810452,81.391502
"#JusticeForDefenceStudents #agnipath #Agniveer #AgnipathScheme #armyexam #airforceenrollment #airforceresult 
@rajnathsingh @PMOIndia @adgpi @DefenceMinIndia @IAF_MCC @indiannavy",17.810452,81.391502
@shankar13sharma @ANI Agniveer wala vioelnce bhul gya gobar bhakt ?,22.269493,88.094457
"सरकार युवाओं को जॉब देने में असफल है।

#Agniveer https://t.co/p6YUhAVIhr",28.397657,76.84252
"@Khan__sir_patna Hme lg rha hai 17 18 saal ke bacho se ap mile nhi hai
 wo Chote honge apke liye Agar wo chote hote to Agniveer me Form apply na krte",26.642291,80.658613
"@ChangeOrg_Hindi @VarunSh14122462 बिल्कुल हमारी भर्ती cancel क्यूँ कर दी इसका कोई कारण नहीं है सरकार के पास हमने मेहनत किया था हमारी भर्ती पुराने pattern पर हमे joining मिलनी चाइये।  #AirmannotAgniveer
हमने airmen बनने के लिए मेहनत किया था agniveer नहीं",23.871941,77.096236
@gchahal you all who have no stake in students except doing politics like Agniveer should fight for poor budget of health system.Bonds of Crores &amp; slum like conditions of govt med colleges and hospitals. you are running political agenda to harass govt at cost of students time and career.,30.918767,76.992563
"सरकारी स्कूल के टीचरो का भी कार्यकाल 5 साल कर दिया जाय... 

अच्छा पढायेंगे तो आगे बढाया जाए नहीं तो रिटायर कर के बाहर कर दिया जाए... 

@agniveer 
@IAF https://t.co/q2bsZEb9HE",23.629503,86.2901
@orfonline @Gen_RajShukla Full of cliches and platitudes. Mostly he hopes….. As a combat officer Raj makes a passing ref to the most imp aspect : combat effectiveness. A poor justification for Agniveer . Type of article written by members of VIF in Swaraj to curry favours with the Govt,28.397657,76.84252
"Veer ,to suna tha.Rastra veer bhi jachta hai.Agniveer kahan se laye. Ye to koi sabdveer paida ho gaya.Dhundo. https://t.co/7X2OLSwmjp",23.060464,69.484366
Aur bad me AGNIVEER k against protest k naam pr Train aur bus jalayenge ye anpadh jahil https://t.co/YA5tr3DFJw,26.642291,80.658613
@sonalijha_ In sab velle desh mangto ke liye hi Modi ji agniveer laaye the…,28.397657,76.84252
"The scheme is weak in most fundamentals.
In one stroke tried to reform something that was least needed.
The chaos has just about started in the recruitment process, wait and watch.
Tragedy is for those who were part of the process for past 2/3 years.
#AgnipathScheme
#Agniveer https://t.co/tsMEdHbCVu",28.199529,76.707671
@TheSatishDua Kya agniveer is parampara ko sambhal payege?,17.810452,81.391502
"@Swamy39 Noted Sir. U said we have the manpower we need American Arms &amp; Israeli cyber craft ,understood,but don’t you think “chink in our Armour” would be our Agniveer’. It’s not a proven formula.I have my doubts,rather it will weaken us further. God forbid,being an ex soldier myself.",25.901146,85.222311
"@Dr_Uditraj Wo agniveer to nahin tha,lekin tum halala ki paidaish ho yeh baat conform hai",24.286947,83.324301
